SKU Code,Design No.,Stock,Category,Size,Color,Color_clean,Category_clean,Category_group,Stock_per_Category,Color_Popularity,Size_Popularity,Design No._enc,Category_group_enc,Color_clean_enc,Size_enc
AN207-PINK-S,AN207,4.0,Leggings,S,Pink,Pink,Leggings,Bottomwear,0.0005699629524080935,0.13720202782871319,0.1459389494121454,6,0,12,6
AN207-PINK-XL,AN207,1.0,Leggings,XL,Pink,Pink,Leggings,Bottomwear,0.00014249073810202338,0.13720202782871319,0.14453672742961923,6,0,12,8
AN207-PINK-XXL,AN207,2.0,Leggings,XXL,Pink,Pink,Leggings,Bottomwear,0.00028498147620404675,0.13720202782871319,0.14432100097076905,6,0,12,10
AN209-BIEGE-L,AN209,4.0,Leggings,L,Beige,Beige,Leggings,Bottomwear,0.0005699629524080935,0.022543414949843597,0.1439974112824938,7,0,0,4
AN209-BIEGE-M,AN209,7.0,Leggings,M,Beige,Beige,Leggings,Bottomwear,0.0009974351667141636,0.022543414949843597,0.1447524538884694,7,0,0,5
AN209-BIEGE-S,AN209,4.0,Leggings,S,Beige,Beige,Leggings,Bottomwear,0.0005699629524080935,0.022543414949843597,0.1459389494121454,7,0,0,6
AN209-BIEGE-XL,AN209,3.0,Leggings,XL,Beige,Beige,Leggings,Bottomwear,0.0004274722143060701,0.022543414949843597,0.14453672742961923,7,0,0,8
AN209-BIEGE-XXL,AN209,3.0,Leggings,XXL,Beige,Beige,Leggings,Bottomwear,0.0004274722143060701,0.022543414949843597,0.14432100097076905,7,0,0,10
AN210-NAVY-L,AN210,5.0,Leggings,L,Navy Blue,Blue,Leggings,Bottomwear,0.0007124536905101168,0.17063962895049078,0.1439974112824938,8,0,2,4
AN210-NAVY-M,AN210,3.0,Leggings,M,Navy Blue,Blue,Leggings,Bottomwear,0.0004274722143060701,0.17063962895049078,0.1447524538884694,8,0,2,5
AN210-NAVY-S,AN210,4.0,Leggings,S,Navy Blue,Blue,Leggings,Bottomwear,0.0005699629524080935,0.17063962895049078,0.1459389494121454,8,0,2,6
AN210-NAVY-XL,AN210,2.0,Leggings,XL,Navy Blue,Blue,Leggings,Bottomwear,0.00028498147620404675,0.17063962895049078,0.14453672742961923,8,0,2,8
AN210-NAVY-XXL,AN210,2.0,Leggings,XXL,Navy Blue,Blue,Leggings,Bottomwear,0.00028498147620404675,0.17063962895049078,0.14432100097076905,8,0,2,10
AN211-BLACK-L,AN211,2.0,Leggings,L,Black,Black,Leggings,Bottomwear,0.00028498147620404675,0.07108186819113364,0.1439974112824938,9,0,1,4
AN211-BLACK-M,AN211,1.0,Leggings,M,Black,Black,Leggings,Bottomwear,0.00014249073810202338,0.07108186819113364,0.1447524538884694,9,0,1,5
AN211-BLACK-S,AN211,7.0,Leggings,S,Black,Black,Leggings,Bottomwear,0.0009974351667141636,0.07108186819113364,0.1459389494121454,9,0,1,6
AN211-BLACK-XL,AN211,3.0,Leggings,XL,Black,Black,Leggings,Bottomwear,0.0004274722143060701,0.07108186819113364,0.14453672742961923,9,0,1,8
AN211-BLACK-XXL,AN211,3.0,Leggings,XXL,Black,Black,Leggings,Bottomwear,0.0004274722143060701,0.07108186819113364,0.14432100097076905,9,0,1,10
AN212-WHITE-L,AN212,11.0,Leggings,L,White,White,Leggings,Bottomwear,0.001567398119122257,0.09136015532305038,0.1439974112824938,10,0,17,4
AN212-WHITE-M,AN212,8.0,Leggings,M,White,White,Leggings,Bottomwear,0.001139925904816187,0.09136015532305038,0.1447524538884694,10,0,17,5
AN212-WHITE-S,AN212,13.0,Leggings,S,White,White,Leggings,Bottomwear,0.0018523795953263038,0.09136015532305038,0.1459389494121454,10,0,17,6
AN212-WHITE-XL,AN212,21.0,Leggings,XL,White,White,Leggings,Bottomwear,0.0029923055001424906,0.09136015532305038,0.14453672742961923,10,0,17,8
AN212-WHITE-XXL,AN212,12.0,Leggings,XXL,White,White,Leggings,Bottomwear,0.0017098888572242804,0.09136015532305038,0.14432100097076905,10,0,17,10
AN213-BROWN-L,AN213,2.0,Leggings,L,Brown,Brown,Leggings,Bottomwear,0.00028498147620404675,0.024161363391219933,0.1439974112824938,11,0,3,4
AN213-BROWN-M,AN213,7.0,Leggings,M,Brown,Brown,Leggings,Bottomwear,0.0009974351667141636,0.024161363391219933,0.1447524538884694,11,0,3,5
AN213-BROWN-S,AN213,8.0,Leggings,S,Brown,Brown,Leggings,Bottomwear,0.001139925904816187,0.024161363391219933,0.1459389494121454,11,0,3,6
AN213-BROWN-XL,AN213,6.0,Leggings,XL,Brown,Brown,Leggings,Bottomwear,0.0008549444286121402,0.024161363391219933,0.14453672742961923,11,0,3,8
AN213-BROWN-XXL,AN213,8.0,Leggings,XXL,Brown,Brown,Leggings,Bottomwear,0.001139925904816187,0.024161363391219933,0.14432100097076905,11,0,3,10
BL001-50PINK,BL001,33.0,Blouse,FREE SIZE,Pink,Pink,Blouse,Western-Topwear,0.0011956954962136308,0.13720202782871319,0.024053500161794843,12,4,12,3
BL003-50BLACK,BL003,117.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.004239284032030146,0.07108186819113364,0.024053500161794843,13,4,1,3
BL004-50CHIKU,BL004,38.0,Blouse,FREE SIZE,Beige,Beige,Blouse,Western-Topwear,0.0013768614804884234,0.022543414949843597,0.024053500161794843,14,4,0,3
BL005-54RED,BL005,16.0,Blouse,FREE SIZE,Red,Red,Blouse,Western-Topwear,0.0005797311496793362,0.10009707690648258,0.024053500161794843,15,4,14,3
BL006-54BLACK,BL006,112.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.004058118047755354,0.07108186819113364,0.024053500161794843,16,4,1,3
#REF!,BL006,0.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.0,0.07108186819113364,0.024053500161794843,16,4,1,3
BL007-61PINK,BL007,56.0,Blouse,FREE SIZE,Pink,Pink,Blouse,Western-Topwear,0.002029059023877677,0.13720202782871319,0.024053500161794843,17,4,12,3
BL008-61RED,BL008,35.0,Blouse,FREE SIZE,Red,Red,Blouse,Western-Topwear,0.001268161889923548,0.10009707690648258,0.024053500161794843,18,4,14,3
#REF!,BL008,0.0,Blouse,FREE SIZE,Red,Red,Blouse,Western-Topwear,0.0,0.10009707690648258,0.024053500161794843,18,4,14,3
BL009-61BLACK,BL009,575.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.020834088191601145,0.07108186819113364,0.024053500161794843,19,4,1,3
BL010-61CHIKU,BL010,75.0,Blouse,FREE SIZE,Beige,Beige,Blouse,Western-Topwear,0.0027174897641218886,0.022543414949843597,0.024053500161794843,20,4,0,3
BL011-62PINK,BL011,22.0,Blouse,FREE SIZE,Pink,Pink,Blouse,Western-Topwear,0.0007971303308090873,0.13720202782871319,0.024053500161794843,21,4,12,3
BL013-62BLACK,BL013,399.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.014457045545128446,0.07108186819113364,0.024053500161794843,22,4,1,3
#REF!,BL013,0.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.0,0.07108186819113364,0.024053500161794843,22,4,1,3
BL014-62CHIKU,BL014,73.0,Blouse,FREE SIZE,Beige,Beige,Blouse,Western-Topwear,0.0026450233704119713,0.022543414949843597,0.024053500161794843,23,4,0,3
BL015-63PINK,BL015,14.0,Blouse,FREE SIZE,Pink,Pink,Blouse,Western-Topwear,0.0005072647559694192,0.13720202782871319,0.024053500161794843,24,4,12,3
BL016-63RED,BL016,24.0,Blouse,FREE SIZE,Red,Red,Blouse,Western-Topwear,0.0008695967245190043,0.10009707690648258,0.024053500161794843,25,4,14,3
BL017-63BLACK,BL017,208.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.007536504945831371,0.07108186819113364,0.024053500161794843,26,4,1,3
BL018-63BEIGE,BL018,39.0,Blouse,FREE SIZE,Beige,Beige,Blouse,Western-Topwear,0.001413094677343382,0.022543414949843597,0.024053500161794843,27,4,0,3
BL019-71PINK,BL019,76.0,Blouse,FREE SIZE,Pink,Pink,Blouse,Western-Topwear,0.002753722960976847,0.13720202782871319,0.024053500161794843,28,4,12,3
#REF!,BL019,0.0,Blouse,FREE SIZE,Pink,Pink,Blouse,Western-Topwear,0.0,0.13720202782871319,0.024053500161794843,28,4,12,3
BL020-71RED,BL020,38.0,Blouse,FREE SIZE,Red,Red,Blouse,Western-Topwear,0.0013768614804884234,0.10009707690648258,0.024053500161794843,29,4,14,3
BL021-71BLACK,BL021,628.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.022754447624913948,0.07108186819113364,0.024053500161794843,30,4,1,3
#REF!,BL021,0.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.0,0.07108186819113364,0.024053500161794843,30,4,1,3
#REF!,BL021,0.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.0,0.07108186819113364,0.024053500161794843,30,4,1,3
#REF!,BL021,1.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,3.623319685495851e-05,0.07108186819113364,0.024053500161794843,30,4,1,3
#REF!,BL021,0.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.0,0.07108186819113364,0.024053500161794843,30,4,1,3
BL022-71BEIGE,BL022,106.0,Blouse,FREE SIZE,Beige,Beige,Blouse,Western-Topwear,0.0038407188666256024,0.022543414949843597,0.024053500161794843,31,4,0,3
#REF!,BL022,0.0,Blouse,FREE SIZE,Beige,Beige,Blouse,Western-Topwear,0.0,0.022543414949843597,0.024053500161794843,31,4,0,3
#REF!,BL022,0.0,Blouse,FREE SIZE,Beige,Beige,Blouse,Western-Topwear,0.0,0.022543414949843597,0.024053500161794843,31,4,0,3
BL023-74PINK,BL023,50.0,Blouse,FREE SIZE,Pink,Pink,Blouse,Western-Topwear,0.0018116598427479257,0.13720202782871319,0.024053500161794843,32,4,12,3
BL024-74RED,BL024,103.0,Blouse,FREE SIZE,Red,Red,Blouse,Western-Topwear,0.003732019276060727,0.10009707690648258,0.024053500161794843,33,4,14,3
BL025-74BLACK,BL025,199.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.007210406174136744,0.07108186819113364,0.024053500161794843,34,4,1,3
BL026-74BEIGE,BL026,98.0,Blouse,FREE SIZE,Beige,Beige,Blouse,Western-Topwear,0.0035508532917859345,0.022543414949843597,0.024053500161794843,35,4,0,3
BL029-78BLACK,BL029,201.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.007282872567846661,0.07108186819113364,0.024053500161794843,36,4,1,3
#REF!,BL029,0.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.0,0.07108186819113364,0.024053500161794843,36,4,1,3
BL030-78BEIGE,BL030,10.0,Blouse,FREE SIZE,Beige,Beige,Blouse,Western-Topwear,0.0003623319685495851,0.022543414949843597,0.024053500161794843,37,4,0,3
BL031-79PINK,BL031,8.0,Blouse,FREE SIZE,Pink,Pink,Blouse,Western-Topwear,0.0002898655748396681,0.13720202782871319,0.024053500161794843,38,4,12,3
BL034-150GOLD,BL034,31.0,Blouse,FREE SIZE,Gold,Yellow,Blouse,Western-Topwear,0.001123229102503714,0.08639844676949628,0.024053500161794843,39,4,18,3
BL035-161GOLD,BL035,448.0,Blouse,FREE SIZE,Gold,Yellow,Blouse,Western-Topwear,0.016232472191021415,0.08639844676949628,0.024053500161794843,40,4,18,3
#REF!,BL035,0.0,Blouse,FREE SIZE,Gold,Yellow,Blouse,Western-Topwear,0.0,0.08639844676949628,0.024053500161794843,40,4,18,3
BL036-176GOLD,BL036,45.0,Blouse,FREE SIZE,Gold,Yellow,Blouse,Western-Topwear,0.001630493858473133,0.08639844676949628,0.024053500161794843,41,4,18,3
#REF!,BL036,0.0,Blouse,FREE SIZE,Gold,Yellow,Blouse,Western-Topwear,0.0,0.08639844676949628,0.024053500161794843,41,4,18,3
BL040-65PINK,BL040,31.0,Blouse,FREE SIZE,Pink,Pink,Blouse,Western-Topwear,0.001123229102503714,0.13720202782871319,0.024053500161794843,42,4,12,3
